CADC,China Advanced Construction Materials Group,NASDAQ
6.48,6.02,6.57,5.92
6.02,5.76,6.24,5.76
5.88,5.88,6.00,5.76
5.64,5.64,5.88,5.64
5.64,5.70,5.76,5.64
5.76,5.70,5.76,5.70
5.70,5.64,6.54,5.64
5.64,6.12,6.12,5.64
5.77,5.76,6.12,5.76
5.76,5.88,5.88,5.64
5.76,5.64,6.00,5.64
5.64,5.52,5.99,5.28
5.40,5.66,6.08,5.40
5.41,5.96,5.98,5.40
5.42,5.52,5.70,5.42
5.52,5.52,5.75,5.52
5.43,5.41,5.63,5.41
5.64,5.64,6.06,5.40
5.52,5.70,5.76,5.52
5.68,6.11,6.11,5.40
6.24,5.88,6.44,5.79
5.89,5.64,5.89,5.54
5.88,5.76,6.44,5.64
6.21,6.00,6.21,5.76
6.00,6.19,6.24,6.00
6.12,6.00,6.44,5.88
6.44,6.37,6.54,6.00
6.48,6.48,6.84,6.48
6.12,6.36,6.36,6.00
6.72,6.78,6.84,6.48
6.96,6.72,6.96,6.31
6.30,6.30,6.48,6.30
6.30,6.48,6.48,6.30
6.30,6.36,6.78,6.30
6.36,6.72,6.78,5.88
6.36,6.00,6.48,5.90
6.36,6.36,6.36,6.24
6.00,6.36,6.36,5.88
5.89,6.00,6.35,5.89
6.12,5.88,6.48,5.88
5.88,6.11,6.48,5.88
5.40,6.12,6.48,5.16
6.12,5.99,6.12,5.64
5.88,5.72,5.88,5.64
5.60,5.64,5.76,5.52
5.52,5.64,5.67,5.40
5.40,5.30,6.24,5.29
5.88,5.17,5.88,5.17
5.52,5.28,5.52,5.17
5.28,5.04,5.28,5.04
5.04,5.04,5.33,5.04
5.31,5.04,5.40,5.04
5.21,5.28,5.40,5.06
5.16,5.19,5.52,5.16
5.04,5.26,5.64,5.04
5.16,5.05,5.76,5.04
5.16,5.40,5.40,5.16
5.40,5.52,5.52,5.28
5.28,5.16,5.28,5.06
5.16,5.16,5.52,5.16
5.06,5.06,5.23,5.06
5.04,5.38,5.38,5.04
5.52,5.52,5.64,5.04
5.52,4.94,5.64,4.94
5.04,5.04,5.07,5.04
5.28,5.04,5.28,5.04
5.40,4.83,5.40,4.82
5.13,5.04,5.28,5.04
5.04,4.92,5.04,4.80
4.82,4.92,4.92,4.80
4.92,4.22,4.92,3.54
4.20,4.15,4.32,4.08
4.13,3.84,4.13,3.60
3.96,3.72,3.96,3.60
3.60,3.31,3.91,2.88
3.60,4.20,4.20,3.60
4.03,3.72,4.32,3.61
3.84,3.50,3.96,3.26
3.19,3.36,3.84,3.19
3.24,3.60,3.84,3.24
