OSIS,OSI Systems,NASDAQ
62.54,65.52,66.61,62.54
65.00,64.73,65.28,63.86
64.70,63.73,64.75,63.00
63.59,63.81,64.22,62.04
63.37,63.10,63.72,62.56
62.97,64.04,64.34,62.32
65.66,65.18,65.77,64.63
65.39,64.97,65.70,64.48
65.30,69.01,70.14,64.84
68.78,68.90,69.28,68.12
68.64,66.94,69.32,66.48
67.31,67.10,68.83,66.73
67.52,68.64,68.73,66.82
68.76,69.33,69.44,68.34
69.00,69.38,70.71,68.88
68.81,68.56,69.02,67.98
68.30,68.25,68.75,68.00
68.08,67.65,69.05,67.45
66.35,70.02,71.65,66.34
69.66,70.34,70.41,69.57
70.25,71.36,72.02,70.10
62.01,57.33,64.19,55.53
57.78,59.88,60.62,57.30
59.81,59.58,60.65,59.39
59.45,57.07,59.45,56.75
56.83,54.49,56.86,54.05
54.55,54.39,54.83,53.14
54.50,54.70,54.80,54.00
54.33,54.95,55.24,54.27
55.02,55.46,55.81,55.02
55.25,56.41,56.61,55.21
56.22,56.49,56.55,55.50
56.70,57.31,57.43,56.17
56.97,57.23,57.57,56.87
57.25,56.39,57.51,56.36
56.92,57.38,57.52,56.17
56.97,57.40,57.77,56.97
57.57,57.00,57.57,56.70
57.03,57.33,57.87,56.71
57.19,55.93,57.21,55.82
55.94,55.17,55.94,54.72
55.34,55.98,56.07,55.20
56.14,54.92,56.42,54.87
55.01,54.80,55.84,54.73
55.35,56.38,56.82,55.35
56.73,57.63,57.90,56.73
57.07,57.60,58.20,56.81
57.35,60.89,61.35,57.35
61.07,60.49,61.50,60.25
60.47,61.53,61.55,60.19
61.53,62.22,62.88,60.70
62.58,63.16,63.34,61.69
62.78,62.57,62.93,62.37
62.26,62.58,62.64,61.45
62.43,64.05,64.23,62.34
64.35,65.10,65.13,63.66
65.00,64.49,65.00,63.71
63.66,64.70,64.89,63.66
64.73,64.45,64.85,63.54
64.74,65.35,65.97,64.62
64.76,65.07,65.70,64.76
65.19,64.67,65.67,64.55
64.99,64.44,66.18,63.59
64.84,64.40,65.10,63.81
63.87,62.61,63.91,61.35
62.93,62.29,62.93,61.65
62.43,61.33,62.80,60.90
61.80,61.00,61.80,60.82
61.07,59.33,61.46,59.26
59.29,58.87,60.07,58.60
57.77,58.56,58.88,57.63
58.57,58.35,59.00,58.12
58.35,58.00,58.48,57.94
57.99,58.09,58.28,57.68
58.22,58.65,59.44,58.12
58.19,58.24,58.61,57.10
57.84,57.14,58.12,55.86
57.76,55.49,57.90,54.92
55.21,55.72,55.84,54.31
55.83,55.00,55.87,54.87
55.22,54.50,55.47,53.81
54.80,51.75,54.80,50.81
51.94,53.48,53.55,51.77
48.12,58.70,59.24,48.10
58.62,56.71,59.23,55.42
56.43,57.60,57.79,56.43
57.51,56.84,58.27,56.81
56.80,57.30,57.75,56.15
57.68,55.14,57.92,55.13
55.53,56.57,57.05,55.06
57.29,57.86,58.44,57.29
58.03,58.39,58.40,57.50
58.30,58.91,59.14,58.30
58.91,59.17,59.33,58.29
59.27,60.11,60.46,58.96
60.13,60.60,60.79,60.03
60.37,60.87,61.14,60.24
61.09,62.24,62.30,61.00
62.00,63.93,64.75,62.00
63.57,64.85,65.15,63.41
64.92,66.34,66.36,64.64
55.00,61.30,63.00,55.00
61.24,53.25,61.30,51.83
53.41,54.59,55.95,51.31
54.11,57.50,58.35,53.59
57.02,57.85,57.86,56.47
58.58,59.12,59.90,58.04
58.96,57.38,59.09,56.15
57.43,58.29,58.49,57.08
57.80,57.84,58.89,56.95
57.93,57.97,58.42,57.30
57.87,56.10,58.42,55.50
55.78,54.43,56.04,54.26
54.25,53.92,54.43,53.11
54.10,53.90,54.57,53.70
54.23,54.93,54.99,54.23
54.52,55.65,56.30,54.00
55.82,55.11,56.45,54.92
