MBCN,Middlefield Banc Corp. - Common Stock,NASDAQ
24.10,24.10,24.10,24.10
26.95,25.25,26.95,25.25
26.95,26.95,26.95,26.95
26.95,26.95,26.95,26.95
26.75,33.00,33.00,26.75
33.00,33.00,33.00,33.00
31.00,31.00,33.00,31.00
31.00,31.00,31.00,31.00
30.00,30.00,30.00,30.00
30.50,30.50,30.50,30.50
30.50,30.50,30.50,30.50
31.00,30.25,31.00,30.25
30.25,31.00,31.00,30.25
30.50,30.50,30.50,30.50
30.50,30.50,30.50,30.50
33.25,33.25,33.25,33.25
33.00,33.00,33.00,32.75
33.00,32.00,33.00,31.00
32.00,32.00,32.00,32.00
31.94,31.94,31.94,31.94
32.00,32.00,32.00,31.55
32.00,32.00,32.00,32.00
32.00,32.00,32.00,32.00
32.40,32.00,32.40,32.00
31.00,30.60,31.00,29.05
30.60,30.60,30.60,30.60
30.60,30.60,30.60,30.60
30.60,30.60,30.60,30.60
30.50,30.50,30.50,29.96
30.75,31.00,31.00,30.75
31.00,31.00,31.00,31.00
31.00,31.00,31.00,31.00
31.00,31.00,31.00,31.00
31.00,31.00,31.07,31.00
31.00,31.00,31.00,31.00
31.00,31.00,31.00,31.00
31.00,31.00,31.00,31.00
31.00,31.00,31.00,31.00
31.00,31.00,31.00,31.00
33.00,31.50,33.00,31.00
31.50,31.50,31.50,31.50
31.50,31.50,31.50,31.50
31.50,31.50,31.50,31.50
30.00,30.25,30.25,30.00
29.55,29.46,29.55,29.46
29.86,29.01,29.98,29.01
29.01,29.01,29.01,29.01
29.01,29.01,29.01,29.01
29.01,29.01,29.01,29.01
29.30,29.30,29.30,29.30
29.30,29.30,29.30,29.30
29.30,29.30,29.30,29.30
30.25,30.25,30.25,30.25
30.25,30.25,30.25,30.25
30.00,30.00,30.00,30.00
30.15,30.15,30.15,30.15
30.15,30.15,30.15,30.15
30.25,30.25,30.25,30.25
30.25,30.25,30.25,30.25
30.25,30.25,30.25,30.25
30.25,30.25,30.25,30.25
30.25,30.25,30.25,30.25
30.25,30.25,30.25,30.25
30.25,30.25,30.25,30.25
30.25,30.25,30.25,30.25
30.25,30.25,30.25,30.25
30.25,30.25,30.25,30.25
30.25,30.25,30.25,30.25
30.25,30.25,30.25,30.25
30.25,30.25,30.25,30.25
30.25,30.25,30.25,30.25
30.25,30.25,30.25,30.25
30.25,30.25,30.25,30.25
30.25,30.25,30.25,30.25
28.85,28.50,29.01,28.50
28.50,28.50,28.50,28.50
28.50,28.50,28.50,28.50
28.00,28.00,28.00,28.00
28.00,28.00,28.00,28.00
27.50,27.50,27.50,27.50
27.50,27.50,27.50,27.50
28.25,28.00,28.25,28.00
28.00,28.00,28.00,28.00
28.00,28.00,28.00,28.00
28.00,28.00,28.00,28.00
28.00,28.00,28.00,28.00
28.00,28.00,28.00,28.00
28.00,28.00,28.00,28.00
28.00,28.00,28.00,28.00
27.50,27.20,28.00,26.00
27.20,27.20,27.20,27.20
27.20,27.20,27.20,27.20
27.20,27.20,27.20,27.20
26.25,26.05,26.25,26.02
26.05,26.05,26.05,26.05
26.92,26.50,26.92,26.50
26.05,26.45,26.45,25.90
26.50,26.50,26.50,26.50
26.50,26.50,26.50,26.50
27.00,27.00,27.00,27.00
27.00,27.00,27.00,27.00
27.00,27.00,27.00,27.00
27.00,27.00,27.00,27.00
