DIA,SPDR Dow Jones Industrial Average ETF,NASDAQ
149.77,150.26,150.28,149.44
150.13,150.94,150.96,150.10
150.90,150.84,151.37,150.39
150.91,151.04,151.10,150.29
150.75,150.86,151.01,150.48
150.88,152.13,152.17,150.86
151.88,152.78,153.11,151.86
152.64,152.45,153.11,152.24
152.42,153.14,153.24,152.21
153.04,153.04,153.56,152.82
153.28,153.51,154.02,152.89
153.71,152.84,155.14,152.35
151.67,152.77,153.24,151.55
152.16,152.77,152.82,151.73
154.21,153.88,154.98,153.48
153.02,152.84,153.25,152.02
152.86,153.10,153.80,152.60
152.61,151.10,153.73,150.90
151.54,152.31,152.36,151.10
152.26,151.64,152.91,150.82
151.22,149.31,151.43,149.29
