GST,Gastar Exploration Inc Common Stock,NASDAQ
1.25,0.88,1.25,0.86
0.88,0.84,0.96,0.82
0.84,0.80,0.84,0.79
0.82,0.77,0.82,0.77
0.77,0.72,0.80,0.70
0.71,0.74,0.82,0.70
0.77,0.79,0.84,0.76
0.79,0.76,0.82,0.74
0.75,0.72,0.77,0.70
0.76,0.74,0.76,0.72
0.74,0.79,0.81,0.74
0.76,0.88,0.92,0.76
0.93,0.91,0.95,0.87
0.94,0.95,0.98,0.91
0.96,0.99,1.04,0.95
1.01,0.99,1.06,0.97
1.13,0.96,1.13,0.93
0.95,0.91,0.97,0.89
0.90,0.90,0.92,0.87
0.85,0.90,0.91,0.85
1.12,0.91,1.12,0.91
0.91,0.91,0.94,0.89
0.95,0.90,0.99,0.89
0.89,0.87,0.91,0.86
0.87,0.82,0.90,0.81
0.80,0.85,0.91,0.80
0.85,0.89,0.90,0.83
0.90,0.94,0.96,0.89
0.96,1.07,1.07,0.94
1.04,1.19,1.19,1.04
1.24,1.25,1.29,1.17
1.28,1.33,1.38,1.25
1.36,1.26,1.36,1.19
1.18,1.24,1.24,1.18
1.23,1.21,1.26,1.15
1.25,1.23,1.26,1.20
1.24,1.24,1.30,1.23
1.30,1.29,1.30,1.27
1.32,1.25,1.34,1.25
1.25,1.24,1.27,1.21
1.24,1.26,1.26,1.20
1.26,1.26,1.28,1.20
1.28,1.26,1.29,1.24
1.29,1.24,1.29,1.22
1.22,1.15,1.24,1.13
1.18,1.14,1.19,1.14
1.14,1.17,1.17,1.13
1.16,1.13,1.17,1.13
1.14,1.12,1.14,1.09
1.10,1.11,1.15,1.09
1.12,1.13,1.16,1.10
1.14,1.14,1.17,1.13
1.12,1.13,1.16,1.07
1.15,1.16,1.16,1.10
1.16,1.13,1.17,1.11
1.10,1.09,1.13,1.08
1.07,1.07,1.11,1.01
1.06,1.05,1.08,1.04
1.05,1.06,1.07,1.04
1.05,1.17,1.18,1.05
1.19,1.30,1.33,1.18
1.35,1.35,1.35,1.27
1.37,1.33,1.38,1.27
1.34,1.31,1.34,1.29
1.29,1.25,1.36,1.23
1.23,1.20,1.25,1.18
1.23,1.22,1.25,1.19
1.24,1.21,1.24,1.19
1.21,1.15,1.25,1.15
1.18,1.16,1.25,1.15
1.17,1.16,1.17,1.15
1.17,1.12,1.17,1.11
1.12,1.14,1.15,1.11
1.15,1.15,1.15,1.13
1.14,1.15,1.16,1.14
1.14,1.18,1.20,1.13
1.15,1.12,1.17,1.09
1.14,1.12,1.14,1.12
1.12,1.14,1.16,1.12
1.14,1.24,1.24,1.13
1.27,1.27,1.30,1.24
1.26,1.27,1.28,1.21
1.34,1.34,1.37,1.29
1.39,1.33,1.40,1.31
1.33,1.32,1.36,1.31
1.33,1.36,1.36,1.31
1.33,1.36,1.38,1.33
1.36,1.62,1.70,1.36
1.60,1.55,1.72,1.50
1.54,1.55,1.58,1.50
1.59,1.61,1.70,1.56
1.66,1.75,1.78,1.55
1.74,1.77,1.84,1.70
1.77,1.79,1.82,1.72
1.77,1.76,1.77,1.70
1.84,2.01,2.05,1.80
2.02,2.06,2.18,2.02
2.05,1.95,2.07,1.85
1.98,2.05,2.09,1.98
2.05,2.39,2.42,2.05
2.44,2.60,2.74,2.42
2.60,2.72,2.75,2.55
2.70,2.80,2.84,2.69
2.85,2.86,2.88,2.74
2.81,2.81,2.86,2.71
2.78,2.64,2.79,2.55
2.70,2.69,2.78,2.52
2.66,2.34,2.68,2.33
2.31,2.43,2.47,2.15
2.38,2.35,2.40,2.25
2.40,2.42,2.46,2.20
