VOT,Vanguard Mid-Cap Growth ETF - DNQ,NASDAQ
76.50,77.03,77.14,76.50
77.02,76.14,77.13,76.00
76.48,75.98,76.63,75.81
76.15,74.77,76.15,74.56
74.79,75.01,75.11,74.63
74.02,74.85,74.89,73.66
75.00,75.57,75.57,74.75
75.72,75.63,75.92,75.19
75.82,76.76,76.79,75.82
76.66,77.17,77.47,76.66
76.80,76.86,77.00,76.39
76.45,74.32,76.45,74.29
75.11,75.80,75.83,74.91
75.24,74.62,75.24,74.11
74.84,74.07,75.01,73.78
74.57,75.19,75.25,74.37
75.32,75.46,75.58,74.58
76.09,76.59,76.66,75.86
76.53,76.60,76.77,76.37
76.99,77.19,77.62,76.99
77.12,76.83,77.27,76.62
77.05,77.30,77.45,76.95
77.31,77.58,77.58,76.90
77.47,76.79,77.47,76.71
77.11,77.48,77.59,77.00
78.26,78.32,78.60,77.87
78.26,78.63,78.75,78.26
78.75,79.12,79.12,78.53
79.08,79.61,79.63,79.04
79.43,79.43,79.74,79.21
79.52,80.20,80.21,79.52
79.99,80.00,80.20,79.78
80.13,81.03,81.05,80.13
80.86,81.38,81.56,80.86
81.28,80.79,81.50,80.65
81.03,81.51,81.53,80.93
81.33,81.33,81.66,81.22
81.41,81.59,81.88,81.32
81.71,80.26,82.20,79.89
79.31,80.08,80.28,79.00
79.74,79.90,79.92,79.16
80.83,80.25,81.04,79.93
79.67,79.60,79.80,79.04
79.68,79.98,80.20,79.63
79.49,79.03,80.31,79.03
79.21,78.91,79.21,78.05
