MKL,Markel Corporation Common Stock,NASDAQ
519.35,507.37,519.35,506.00
509.00,513.02,513.89,507.22
515.00,512.76,516.09,509.58
514.45,518.41,520.52,514.45
517.20,517.23,520.00,515.45
517.60,515.25,519.46,514.83
513.07,514.40,516.12,511.21
515.01,514.30,517.63,513.96
515.50,536.25,536.25,515.00
539.75,535.00,546.94,531.00
536.24,537.72,540.87,531.57
541.00,533.44,543.98,531.00
534.06,534.04,534.71,530.02
534.00,535.49,536.99,530.26
536.00,531.60,537.81,527.12
529.65,527.27,530.88,525.00
528.00,525.33,529.60,525.33
525.33,525.59,528.97,525.05
527.00,530.00,530.24,527.00
529.85,535.00,535.49,529.21
534.05,537.00,537.73,534.05
538.75,539.00,539.44,537.11
538.90,538.18,539.65,537.55
539.70,535.00,539.97,531.40
535.00,533.24,535.00,529.73
530.74,530.18,531.99,529.00
530.25,533.01,535.00,529.10
535.29,533.75,539.27,533.75
531.35,531.00,534.29,528.41
529.30,532.15,534.25,529.30
532.88,522.89,534.56,522.89
533.00,520.60,533.00,519.00
519.90,517.95,522.88,517.50
517.97,512.85,521.42,512.03
510.35,519.20,519.20,509.62
522.25,531.54,531.54,522.00
534.75,533.70,537.61,530.35
