NWLI,National Western Life Group,NASDAQ
164.00,163.34,164.00,163.32
163.00,163.68,163.80,163.00
163.00,162.27,163.10,162.18
162.30,162.64,162.83,162.25
161.90,165.79,165.84,161.90
167.32,165.95,167.32,165.90
167.07,165.19,167.07,165.19
164.34,165.00,165.40,164.34
165.50,162.52,165.50,162.52
163.49,163.68,163.68,162.75
164.24,162.61,164.99,162.50
162.73,162.10,163.50,162.10
162.73,162.60,163.00,162.15
162.60,162.99,163.00,162.30
162.91,162.86,163.00,162.21
162.04,162.00,162.50,161.69
162.25,160.52,162.25,160.52
161.32,159.40,162.83,159.40
159.41,158.68,160.45,157.56
158.50,159.51,159.99,158.10
162.00,166.00,166.58,161.74
169.67,167.19,169.67,166.27
167.99,169.06,169.45,167.86
170.19,176.29,176.29,170.00
176.48,184.30,184.83,176.48
183.66,183.55,189.00,182.37
182.50,186.92,189.08,180.01
186.01,186.00,187.00,185.01
187.00,186.70,189.20,186.00
186.64,184.95,186.89,183.90
184.67,184.38,185.65,183.12
184.90,183.66,184.90,182.30
181.96,182.49,183.00,181.96
180.00,179.81,181.81,179.81
179.15,176.00,179.15,176.00
176.62,175.20,178.80,175.20
175.86,176.38,178.00,175.77
177.82,175.37,177.82,175.33
175.60,176.95,177.58,175.60
174.78,173.27,174.78,173.10
173.78,173.48,173.78,173.03
174.66,173.10,174.95,173.10
173.96,178.95,178.95,173.00
179.22,177.62,179.70,177.10
176.40,175.99,177.15,175.23
175.40,170.00,175.40,170.00
174.19,173.48,174.19,171.67
172.08,171.70,173.90,170.52
171.65,170.42,172.04,170.42
171.00,171.00,171.54,171.00
171.00,171.37,172.05,170.75
173.00,173.66,173.81,172.50
172.98,175.58,175.73,172.98
176.70,177.01,177.80,176.00
177.40,177.12,178.00,176.15
181.00,181.12,182.50,179.53
181.00,182.62,184.21,180.55
182.75,183.65,190.10,182.75
184.17,185.67,186.50,184.17
186.51,197.35,198.70,186.51
199.00,196.72,200.21,194.50
196.95,198.23,198.41,196.63
198.00,195.89,198.00,195.55
195.09,191.40,195.14,191.02
191.50,192.35,192.60,191.50
192.30,192.18,193.48,190.92
192.00,192.98,192.98,191.98
191.27,191.77,192.81,191.27
191.55,192.01,193.97,191.55
193.12,193.03,193.50,192.70
193.00,191.85,193.38,191.24
191.46,190.99,191.46,190.62
190.73,191.00,192.35,190.73
191.00,191.33,191.33,190.59
190.65,194.25,194.77,190.16
196.59,196.66,197.98,195.04
196.49,195.32,196.50,195.13
196.00,195.69,196.83,195.37
195.00,195.99,197.02,195.00
196.37,197.54,198.48,196.33
197.82,196.00,198.15,194.85
195.59,191.08,196.74,191.08
191.42,194.70,194.70,191.14
195.00,195.98,197.25,194.04
196.71,195.66,196.71,194.53
193.72,195.00,195.00,193.72
194.03,192.55,196.00,192.26
