BLK,BlackRock,NASDAQ
275.35,277.25,277.37,268.03
274.73,275.80,278.82,272.43
276.24,276.67,277.46,275.21
275.76,279.39,281.00,275.42
280.00,284.45,284.98,280.00
283.98,289.29,289.41,283.00
288.44,285.41,290.83,284.76
287.10,290.95,291.21,286.70
289.10,289.25,291.82,287.06
290.60,291.69,293.31,288.94
291.66,285.33,298.14,282.91
280.85,282.80,283.69,277.45
279.88,283.35,283.54,279.80
285.42,288.32,292.29,285.14
286.31,283.64,288.86,282.77
282.50,284.98,286.68,281.30
283.71,279.20,285.99,279.12
279.94,278.33,279.95,273.03
278.73,276.28,281.58,274.69
275.90,266.97,277.78,263.11
264.68,268.99,269.23,260.52
272.99,280.23,280.69,269.77
279.05,281.34,282.91,276.41
279.39,276.20,279.73,275.17
278.37,269.04,280.00,268.53
268.78,272.43,272.70,264.71
